latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-17.95083,179.30125,340.39,0.44,0.39,2022-08-16,0128,1,nominal,2.0NRT,294.17,8.4,D
-17.81931,177.52194,331.29,0.54,0.42,2022-08-16,0128,1,nominal,2.0NRT,295.56,3.94,D
-17.44434,177.7966,331.74,0.52,0.41,2022-08-16,0128,1,nominal,2.0NRT,285.77,5.13,D
-45.9079,170.45522,330.55,0.49,0.4,2022-08-16,0300,1,nominal,2.0NRT,290.59,3.24,D
-45.726,169.47763,329.33,0.46,0.39,2022-08-16,0300,1,nominal,2.0NRT,291.27,2.53,D
-45.72507,168.80862,336.55,0.44,0.38,2022-08-16,0300,1,nominal,2.0NRT,281.61,3.29,D
-34.46125,150.8849,344.99,0.34,0.56,2022-08-16,0304,1,nominal,2.0NRT,295.1,4.48,D
-34.46027,150.88496,337.31,0.34,0.56,2022-08-16,0304,1,nominal,2.0NRT,293.53,5.43,D
-34.45562,150.87706,326.07,0.34,0.56,2022-08-16,0304,1,nominal,2.0NRT,286.4,1.17,D
-29.47951,153.19563,343.19,0.43,0.46,2022-08-16,0306,1,nominal,2.0NRT,295.38,93.99,D
-29.47614,153.19629,341.35,0.43,0.46,2022-08-16,0306,1,nominal,2.0NRT,306.16,66.3,D
-29.47661,153.19179,292.18,0.43,0.46,2022-08-16,0306,1,low,2.0NRT,304.02,53.61,D
-28.68389,153.5554,326.15,0.41,0.45,2022-08-16,0306,1,nominal,2.0NRT,294.75,1.29,D
-29.23537,146.38882,339.22,0.56,0.69,2022-08-16,0306,1,nominal,2.0NRT,289.17,8.19,D
-28.33989,150.07219,328.73,0.32,0.55,2022-08-16,0306,1,nominal,2.0NRT,291.47,2.09,D
-28.08304,152.69626,339.22,0.45,0.47,2022-08-16,0306,1,nominal,2.0NRT,289.02,4.25,D
-28.00613,151.56396,350.71,0.52,0.5,2022-08-16,0306,1,nominal,2.0NRT,294.08,18.72,D
-27.36322,152.95403,328.5,0.42,0.45,2022-08-16,0306,1,nominal,2.0NRT,292.88,3.81,D
-27.36274,152.95465,333.05,0.42,0.45,2022-08-16,0306,1,nominal,2.0NRT,294.35,6.52,D
-27.11789,152.17598,337.68,0.47,0.48,2022-08-16,0306,1,nominal,2.0NRT,295.51,4.59,D
-26.88367,152.46584,349.51,0.45,0.47,2022-08-16,0306,1,nominal,2.0NRT,294.75,7.04,D
-26.88412,152.46144,344.38,0.45,0.47,2022-08-16,0306,1,nominal,2.0NRT,293.09,8.46,D
-26.886,152.44308,329.67,0.45,0.47,2022-08-16,0306,1,nominal,2.0NRT,296.05,2.45,D
-26.87936,152.4653,341.92,0.45,0.47,2022-08-16,0306,1,nominal,2.0NRT,296.9,7.04,D
-26.88646,152.4623,340.25,0.45,0.47,2022-08-16,0306,1,nominal,2.0NRT,295.09,5.5,D
-26.88167,152.46608,348.67,0.45,0.47,2022-08-16,0306,1,nominal,2.0NRT,297.15,6.4,D
-26.88215,152.46175,337.81,0.45,0.47,2022-08-16,0306,1,nominal,2.0NRT,296.82,6.19,D
-26.88413,152.44357,334.99,0.45,0.47,2022-08-16,0306,1,nominal,2.0NRT,293.07,3.23,D
-26.87689,152.46992,326.22,0.45,0.47,2022-08-16,0306,1,nominal,2.0NRT,297.32,6.4,D
-26.84344,152.49689,334.36,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,295.7,3.64,D
-26.81824,152.32069,326.45,0.45,0.47,2022-08-16,0306,1,nominal,2.0NRT,293.68,2.14,D
-26.76383,151.62056,338.94,0.5,0.49,2022-08-16,0306,1,nominal,2.0NRT,294.44,7.11,D
-26.76762,151.6188,340.98,0.5,0.49,2022-08-16,0306,1,nominal,2.0NRT,294.41,6.41,D
-26.6522,152.52818,329.16,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,294.21,3.16,D
-26.65268,152.52385,325.86,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,294.68,3.16,D
-26.64366,152.52695,354.87,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,296.93,10.9,D
-26.64413,152.52261,325.82,0.44,0.46,2022-08-16,0306,1,low,2.0NRT,297.66,10.9,D
-26.63891,152.53073,346.36,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,294.09,13.8,D
-26.63939,152.52638,351.32,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,304.28,10.9,D
-26.63986,152.52205,326.3,0.44,0.46,2022-08-16,0306,1,low,2.0NRT,297.88,10.9,D
-26.63464,152.53017,347.08,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,297.28,18.32,D
-26.63511,152.52583,333.66,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,295.08,5.21,D
-26.6138,152.5224,348.32,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,296.59,6.36,D
-26.61427,152.51804,342.07,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,296.07,6.36,D
-26.60906,152.52617,331.49,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,293.97,5.48,D
-26.60432,152.52992,339.65,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,291.75,5.48,D
-26.60478,152.52563,349.41,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,295.16,5.48,D
-26.60662,152.50844,345.23,0.44,0.46,2022-08-16,0306,1,nominal,2.0NRT,298.86,14.76,D
