latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.98288,136.43617,319.32,1.33,1.14,2022-08-16,0050,T,70,6.1NRT,300.59,15.78,D
-11.99315,136.43456,315,1.33,1.14,2022-08-16,0050,T,40,6.1NRT,301.91,8.99,D
-12.84947,142.01108,336.53,1.13,1.06,2022-08-16,0050,T,88,6.1NRT,302.54,35.22,D
-12.8542,142.01465,316.07,1.14,1.06,2022-08-16,0050,T,51,6.1NRT,300.9,5.95,D
-12.97649,141.60684,316.78,1.09,1.04,2022-08-16,0050,T,46,6.1NRT,303.69,8.61,D
-12.27397,135.44888,315.29,1.54,1.22,2022-08-16,0050,T,62,6.1NRT,304.46,10.78,D
-12.13754,134.24786,314.99,1.89,1.34,2022-08-16,0050,T,61,6.1NRT,300.44,19.4,D
-12.14194,134.24113,312.05,1.89,1.34,2022-08-16,0050,T,45,6.1NRT,300.82,15.11,D
-12.52553,136.56799,320.73,1.29,1.13,2022-08-16,0050,T,72,6.1NRT,301.26,18.09,D
-12.2504,134.33838,313,1.85,1.33,2022-08-16,0050,T,26,6.1NRT,302.57,10.64,D
-12.20076,133.74461,325.98,2.06,1.4,2022-08-16,0050,T,66,6.1NRT,302.33,42.88,D
-12.22578,133.74051,322.89,2.06,1.4,2022-08-16,0050,T,72,6.1NRT,304.35,32.18,D
-12.22685,133.73428,323.96,2.06,1.4,2022-08-16,0050,T,76,6.1NRT,303.47,35.53,D
-12.23965,133.80852,323.5,2.03,1.39,2022-08-16,0050,T,75,6.1NRT,304.65,34.89,D
-13.70999,142.86125,323.52,1.29,1.13,2022-08-16,0050,T,76,6.1NRT,301.59,19.06,D
-12.27223,132.70039,316.6,2.47,1.51,2022-08-16,0050,T,62,6.1NRT,303.09,29.25,D
-12.60913,133.13126,359.68,2.25,1.45,2022-08-16,0050,T,99,6.1NRT,302.74,262.06,D
-12.61263,133.15146,354.31,2.24,1.45,2022-08-16,0050,T,97,6.1NRT,303.65,213.6,D
-12.61596,133.17068,325.16,2.23,1.45,2022-08-16,0050,T,71,6.1NRT,302.91,49.13,D
-12.62219,133.12929,341.35,2.25,1.45,2022-08-16,0050,T,90,6.1NRT,299.82,131.4,D
-12.62566,133.14946,367.91,2.24,1.45,2022-08-16,0050,T,100,6.1NRT,306.27,335.17,D
-12.62906,133.16925,335.66,2.23,1.45,2022-08-16,0050,T,86,6.1NRT,304.97,90.65,D
-12.63871,133.14758,333.85,2.24,1.45,2022-08-16,0050,T,85,6.1NRT,299.94,87.6,D
-12.64216,133.16779,349.5,2.23,1.45,2022-08-16,0050,T,95,6.1NRT,305.05,167.72,D
-12.64552,133.18742,326.9,2.23,1.45,2022-08-16,0050,T,60,6.1NRT,304.95,47.92,D
-12.65514,133.16562,347.35,2.23,1.45,2022-08-16,0050,T,94,6.1NRT,302.68,152.15,D
-12.65849,133.1853,346.69,2.23,1.45,2022-08-16,0050,T,93,6.1NRT,304.63,144.33,D
-12.68777,133.20105,321.74,2.22,1.44,2022-08-16,0050,T,61,6.1NRT,303.47,34.21,D
-12.69113,133.22116,323.98,2.21,1.44,2022-08-16,0050,T,76,6.1NRT,302.47,40.95,D
-12.68576,133.19539,315.5,2.22,1.44,2022-08-16,0050,T,44,6.1NRT,302.97,18.27,D
-12.68926,133.21535,330.51,2.21,1.44,2022-08-16,0050,T,82,6.1NRT,303.36,67.56,D
-12.51974,131.1468,319.14,3.21,1.7,2022-08-16,0050,T,69,6.1NRT,301.79,59.97,D
-12.51659,131.14168,313.11,3.21,1.7,2022-08-16,0050,T,53,6.1NRT,302.02,31.61,D
-12.83071,132.29437,331.01,2.58,1.54,2022-08-16,0050,T,83,6.1NRT,305.31,87.61,D
-12.84453,132.29192,314.51,2.58,1.54,2022-08-16,0050,T,46,6.1NRT,303.2,19.89,D
-12.84865,132.31538,318.11,2.57,1.54,2022-08-16,0050,T,67,6.1NRT,304.36,32.28,D
